Name,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
,,,,,,
100nF Ceramic Multilayer Capacitor_1,"AVX 0805 Standard 100nF Ceramic Multilayer Capacitor, 50 V dc X7R Dielectric ±10% SMD","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23",CAPCP2012X09N,100nF Ceramic Multilayer Capacitor_1,23,
SMBJ5.0A-13-F,TVS DIODE 5V 9.2V SMB,D1,FP-SMB-MFG,CMP-12828-000017-1,1,
GREEN,LED Uni-Color Green 4-Pin Chip 0805 T/R,"D2, D3",LEDC2012X70N,597-3305-607F,2,
MF-MSMF050-2,PTC RESET FUSE 15V 500MA 1812,F1,FP-MF-MSMF050-2-MFG,CMP-2100-03653-2,1,
120R,"Ferrite Bead (emi Suppression), 1.6X0.8X0.8MM (0603), 600O Impedance At 100 Mhz","FB1, FB2",WE-CBF HF_0603_HC,CMP-0220-00101-3,2,
473460001,CONN RCPT USB2.0 MICRO B SMD R/A,J1,FP-473460001-MFG,CMP-2000-05246-2,1,
640383-6,"Header, Conn,Interconnect System,PCB Plug,6 Cont,Solder,MTA-156 Series,Straight","J2, J3",TE_640383-6,640383-6,2,
Mounting hole non plated 3.2mm,Mounting hole non plated 3.2mm drill hole,"MHNP1, MHNP2, MHNP3, MHNP4",MHNP3P2MM,MHNP3P2MM,4,
1k,,"R1, R4",RESC2012X60N,RC0805FR-102K7L,2,
2k2,,"R2, R3",RESC2012X60N,RC0805FR-102K7L,2,
10k,,"R5, R6",RESC2012X60N,RC0805FR-102K7L,2,
AMS1117-3.3,"LDO Voltage Regulators 1A, 3.3V",U1,FP-AMS1117-IPC_C,CMP-209535-000001-1,1,
MPU-6050,"3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel",U2,IS-QFN-24_V,CMP-1753-00002-2,1,
USBLC6-2SC6,17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6,U3,SOT95P280X145-6N,USBLC6-2SC6,1,
STM32F411CEU6,"ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray",U4,STM-UFQFPN48_L,CMP-0243-00165-1,1,
Aker 16MHz Crystal SMT,Aker S5C SMT Crystal,X1,Aker S5C Crystal,Aker  C5S-16.000-12-3030-X,1,
